id,command,character,imageFolderName,imageNum,mainText,setBranch,yesText,noText,choseYes,choseNo,skipID,eventFlag,checkNeedEventNum,eventNum,afterEventSkipID,chractorFunction,animFuncName,SEpath
0,set_bgm,,,,,FALSE,,,,,,,,,,,,
1,check_EventFlag,,,,,,,,,,2,TRUE,0,1,,,,
2,fade_blackOut,,,,,,,,,,,,,,,,,
3,chara_func,,,,,,,,,,,,,,,StartEvent,,
4,chara_func,,,,,,,,,,,,,,,SpawnSyoMao_Story,,
5,fade_blackIn,,,,,,,,,,,,,,,,,
6,chara_func,,,,,,,,,,,,,,,CemeraStartMove,,
7,set_text,マオ,Player,1,ずいぶんと奥まできたね,FALSE,,,,,,,,,,,,
8,chara_func,,,,,,,,,,,,,,,SyoTurnTowardsMao,,
9,set_text,ショウ,BRDF,1,なんだぁ、もしかして怖いのか？,,,,,,,,,,,,,
10,chara_func,,,,,,,,,,,,,,,MaoTurnTowardsSyo,,
11,set_text,マオ,Player,1,わぁっバケモノ！,,,,,,,,,,,,,
12,chara_func,,,,,,,,,,,,,,,SyoLookAround,,
13,set_text,ショウ,BRDF,1,バケモノ！　ど、どこだ！　どこにいる？,,,,,,,,,,,,,
14,set_text,マオ,Player,1,嘘だよ,,,,,,,,,,,,,
15,chara_func,,,,,,,,,,,,,,,MaoTurnTowardsSyo,,
16,set_text,ショウ,BRDF,1,"なっ、脅かすなよ。まっ、まあ、本当だったとしても、
俺はぜんぜん平気だけどな",,,,,,,,,,,,,
17,chara_func,,,,,,,,,,,,,,,SyoFindMiningMachine,,
18,set_text,ショウ,BRDF,1,っと、そんなことより、これ見ろよ！,,,,,,,,,,,,,
19,chara_func,,,,,,,,,,,,,,,MaoFindMiningMachine,,
20,set_text,マオ,Player,1,これは……,,,,,,,,,,,,,
21,set_text,ショウ,BRDF,1,掘削機ってやつだよ。昔はこいつが大きな穴を開けてたらしいけど、今は動いてないんだ,,,,,,,,,,,,,
22,set_text,マオ,Player,1,壊れてるの？,,,,,,,,,,,,,
23,set_text,ショウ,BRDF,1,"たしか父ちゃんは、燃料が足りてないって言ってたな。
今は村の発電に使うので手一杯だって",,,,,,,,,,,,,
24,chara_func,,,,,,,,,,,,,,,MaoTurnTowardsSyo,,
25,set_text,マオ,Player,1,でももし燃料が見つかれば,,,,,,,,,,,,,
26,chara_func,,,,,,,,,,,,,,,SyoTurnTowardsMao,,
27,set_text,ショウ,BRDF,1,そう！　俺たちで動かせるかもしれない！,,,,,,,,,,,,,
28,chara_func,,,,,,,,,,,,,,,SontyoSpawn,,
29,set_text,村長,Sontyo1,1,"へんなところからお前の声が聞こえると思えば、
こんな奥まで勝手に入りやがって。",,,,,,,,,,,,,
30,set_text,村長,Sontyo1,1,危ねえだろう！,,,,,,,,,,,,,
31,chara_func,,,,,,,,,,,,,,,SontyoHitSyo,,
32,set_text,ショウ,BRDF,1,痛ってえー。でもでも父ちゃん、この掘削機が動けば、俺とコイツは先に進めるんだよ,,,,,,,,,,,,,
33,set_text,村長,Sontyo1,1,"確かにそうかもな。だが、肝心の燃料がない。
コイツを動かすにはかなりの量が必要になる。",,,,,,,,,,,,,
34,set_text,村長,Sontyo1,1,だが村には今、コイツにまわせる分はねえんだ,,,,,,,,,,,,,
35,set_text,村長,Sontyo1,1,アンタ、朝からこのバカに付き合わせちまって悪いな。,,,,,,,,,,,,,
36,set_text,村長,Sontyo1,1,ほらここは危ないから、もう帰るぞ。ちょうど昼飯にもいい時間だ,,,,,,,,,,,,,
37,chara_func,,,,,,,,,,,,,,,SmallEarthquake,,
38,set_text,ショウ,BRDF,1,なんだこの揺れ,,,,,,,,,,,,,
39,set_text,村長,Sontyo1,1,みんな、下手に動くんじゃあねえぞ,,,,,,,,,,,,,
40,chara_func,,,,,,,,,,,,,,,BigEarthquake,,
41,set_text,マオ,Player,1,だんだん大きくなってく！,,,,,,,,,,,,,
42,fade_blackOut,,,,,,,,,,,,,,,,,
43,chara_func,,,,,,,,,,,,,,,EndOfEarthquake,,
44,fade_blackWait,,,,,,,,,,,,,,,,,
45,fade_blackIn,,,,,,,,,,,,,,,,,
46,set_text,マオ,Player,1,ごほ、ごほ,,,,,,,,,,,,,
47,set_text,ショウ,BRDF,1,うげー、口に石が…,,,,,,,,,,,,,
48,chara_func,,,,,,,,,,,,,,,SyoMaoTurnTowardsBack,,
49,set_text,ショウ,BRDF,,…てっなんだこの岩は！,,,,,,,,,,,,,
50,set_text,マオ,Player,1,天井が崩れたみたい,,,,,,,,,,,,,
51,chara_func,,,,,,,,,,,,,,,SontyoAttackedByMouster,,
52,set_text,村長,Sontyo1,1,この野郎！　何しやがる！,,,,,,,,,,,,,
53,set_text,村長,Sontyo1,1,クソ野郎が！　これでもくらいやがれ！,,,,,,,,,,,,,
54,chara_func,,,,,,,,,,,,,,,MaoMoveToSontyo,,
55,set_text,マオ,Player,1,村長さん！,,,,,,,,,,,,,
56,set_text,村長,Sontyo1,1,なにこっちは大丈夫だ。それよりもふたりとも怪我はないか,TRUE,ないよ,大丈夫,57,57,,,,,,,,
57,set_text,村長,Sontyo1,1,"そいつはよかった。
こっちは急に化け物が出てきてな。",,,,,,,,,,,,,
58,set_text,村長,Sontyo1,1,情けない話だが、数人足を怪我しちまった。,,,,,,,,,,,,,
59,set_text,村長,Sontyo1,1,"悪いが、アンタたち二人で助けを呼んでくれないか。
俺はここで怪我人の手当をする",TRUE,わかった,すぐ戻ってくるよ,60,60,,,,,,,,
60,chara_func,,,,,,,,,,,,,,,SyoMoveToSontyo,,
61,set_text,ショウ,BRDF,1,父ちゃん！,,,,,,,,,,,,,
62,set_text,村長,Sontyo1,1,お前は俺の息子だ。なら、どうすればいいかはお前が一番分かっているはずだ,,,,,,,,,,,,,
63,set_text,ショウ,BRDF,1,……うん。俺助けを呼んでくる。絶対に。だから父ちゃんも頑張れよ,,,,,,,,,,,,,
64,set_text,村長,Sontyo1,1,ハハハッ、そう大袈裟に言うな。大丈夫だ、お前ならやれる,,,,,,,,,,,,,
65,set_text,マオ,Player,1,行こう,,,,,,,,,,,,,
66,set_text,ショウ,BRDF,1,ああ、行こう。こっちの穴から出れそうだ,,,,,,,,,,,,,
67,fade_blackOut,,,,,,,,,,,,,,,,,
68,chara_func,,,,,,,,,,,,,,,EndEvent,,
69,end_talk,,,,,,,,,,,,,,,,,
