id,command,character,imageFolderName,imageNum,mainText,setBranch,yesText,noText,choseYes,choseNo,skipID,eventFlag,checkNeedEventNum,eventNum,afterEventSkipID,chractorFunction,animFuncName,SEpath
0,set_bgm,,,,,FALSE,,,,,,,,,,,,
1,check_EventFlag,,,,,,,,,,2,TRUE,0,1,,,,
2,fade_blackOut,,,,,,,,,,,,,,,,,
3,play_sound,,,,,,,,,,,,,,,,,SE/Tool/Pickel
4,chara_func,,,,,,,,,,,,,,,Move2Village,,
5,chara_func,,,,,,,,,,,,,,,SpawnSyo_Story,,
6,chara_func,,,,,,,,,,,,,,,SpawnMao_Story,,
7,fade_blackIn,,,,,,,,,,,,,,,,,
8,set_text,ショウ,BRDF,1,やったか！？,FALSE,,,,,,,,,,,,
9,chara_func,,,,,,,,,,,,,,,SpawnSyo_Field,,
10,set_text,ボス,Boss,1,ウガァァァアアア！！！！！,,,,,,,,,,,,,
11,chara_func,,,,,,,,,,,,,,,SceneShake,,
12,set_text,ショウ,BRDF,1,危ない！,,,,,,,,,,,,,
13,set_text,村長,Sontyo1,1,おい！　大丈夫か！,,,,,,,,,,,,,
14,set_text,ショウ,BRDF,1,あっ！　父ちゃん！,,,,,,,,,,,,,
15,set_text,村長,Sontyo1,1,おお、お前たち無事か！,,,,,,,,,,,,,
16,set_text,村長,Sontyo1,1,まさか、こいつを倒しちまったのか,,,,,,,,,,,,,
17,play_sound,,,,,,,,,,,,,,,,,SE/Monster/Common_Roar
18,set_text,マオ,Player,1,なんとかね,,,,,,,,,,,,,
19,set_text,村長,Sontyo1,1,"たまげたもんだぜ。
……地上を目指すっつのも、
アンタになら出来るかもしれんなぁ",,,,,,,,,,,,,
20,set_text,村人1,,1,おいおい、こりゃあすげえ,,,,,,,,,,,,,
21,set_text,村人2,,1,そこら中燃料だらけだ,,,,,,,,,,,,,
22,fade_blackOut,,,,,,,,,,,,,,,,,
23,chara_func,,,,,,,,,,,,,,,Move2Village,,
24,chara_func,,,,,,,,,,,,,,,SpawnSyo_Story,,
25,fade_blackWait,,,,,,,,,,,,,,,,,
26,fade_blackIn,,,,,,,,,,,,,,,,,
27,set_text,村長,Sontyo1,1,"こいつは……確かにそうだな。
驚いたぜ、化け物がこんなにも燃料を隠していやがった",,,,,,,,,,,,,
28,set_text,ショウ,BRDF,1,ほら言っただろ。燃料は俺が見つけるって,,,,,,,,,,,,,
29,set_text,村長,Sontyo1,1,馬鹿野郎！　お前はただビビってただけだろ,,,,,,,,,,,,,
30,set_text,ショウ,BRDF,1,そんなことねえ！,,,,,,,,,,,,,
31,set_text,マオ,Player,1,うん、彼はよくやったよ,,,,,,,,,,,,,
32,set_text,村長,Sontyo1,1,"まあ、そういうことにしておくか。
それよりもアンタ、これだけ燃料があれば
あの掘削機も十分に動かせるだろう",,,,,,,,,,,,,
33,set_text,村長,Sontyo1,1,よしみんな、コイツを運び出すぞ！,,,,,,,,,,,,,
34,fade_blackOut,,,,,,,,,,,,,,,,,
35,end_talk,,,,,,,,,,,,,,,,,
